feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
locus::SETD2,CORE03,CORE04,12,9,-0.31565,-0.2005,-0.30956667,-0.13361111,-0.33333333,-0.81481481,0.22222222,0.21362073,0.46912716
locus::PBRM1,CORE01,CORE02,21,14,-0.4562,-0.3008,-0.46094286,-0.27755,-0.68707483,-0.93877551,-0.37397959,0.00071435,0.0042861
locus::PBRM1,CORE01,CORE03,21,12,-0.4562,-0.31565,-0.46094286,-0.30956667,-0.63492063,-0.9047619,-0.30952381,0.00292785,0.01463925
locus::PBRM1,CORE01,CORE04,21,9,-0.4562,-0.2005,-0.46094286,-0.13361111,-0.69312169,-1.0,-0.26984127,0.0032646,0.01463925
locus::PBRM1,CORE02,CORE03,14,12,-0.3008,-0.31565,-0.27755,-0.30956667,0.08333333,-0.36904762,0.52410714,0.73813514,0.73813514
locus::PBRM1,CORE02,CORE04,14,9,-0.3008,-0.2005,-0.27755,-0.13361111,-0.34920635,-0.79365079,0.19047619,0.1756175,0.5268525
locus::PBRM1,CORE03,CORE04,12,9,-0.31565,-0.2005,-0.30956667,-0.13361111,-0.33333333,-0.81481481,0.2037037,0.21362073,0.5268525
locus::BAP1,CORE01,CORE02,21,14,-0.4562,-0.3008,-0.46094286,-0.27755,-0.68707483,-0.93877551,-0.40119048,0.00071435,0.0042861
locus::BAP1,CORE01,CORE03,21,12,-0.4562,-0.31565,-0.46094286,-0.30956667,-0.63492063,-0.9047619,-0.28571429,0.00292785,0.01463925
locus::BAP1,CORE01,CORE04,21,9,-0.4562,-0.2005,-0.46094286,-0.13361111,-0.69312169,-1.0,-0.26957672,0.0032646,0.01463925
locus::BAP1,CORE02,CORE03,14,12,-0.3008,-0.31565,-0.27755,-0.30956667,0.08333333,-0.4047619,0.53571429,0.73813514,0.73813514
locus::BAP1,CORE02,CORE04,14,9,-0.3008,-0.2005,-0.27755,-0.13361111,-0.34920635,-0.82539683,0.12698413,0.1756175,0.5268525
locus::BAP1,CORE03,CORE04,12,9,-0.31565,-0.2005,-0.30956667,-0.13361111,-0.33333333,-0.83333333,0.22222222,0.21362073,0.5268525
locus::PTEN,CORE01,CORE02,21,14,-0.0002,-0.14146375,-0.00450476,-0.14275196,0.73469388,0.40816327,0.97959184,0.00029493,0.00172206
locus::PTEN,CORE01,CORE03,21,12,-0.0002,0.0308,-0.00450476,0.03015833,-0.73015873,-0.98412698,-0.34920635,0.00061573,0.00246292
locus::PTEN,CORE01,CORE04,21,9,-0.0002,-0.0053,-0.00450476,-0.10886881,-0.03703704,-0.60846561,0.51349206,0.89200402,0.89200402
locus::PTEN,CORE02,CORE03,14,12,-0.14146375,0.0308,-0.14275196,0.03015833,-0.8452381,-1.0,-0.54761905,0.00028701,0.00172206
locus::PTEN,CORE02,CORE04,14,9,-0.14146375,-0.0053,-0.14275196,-0.10886881,-0.23809524,-0.77777778,0.31746032,0.36102477,0.72204954
locus::PTEN,CORE03,CORE04,12,9,0.0308,-0.0053,0.03015833,-0.10886881,0.37037037,-0.2037037,0.83333333,0.16566911,0.49700733
fga,CORE01,CORE02,21,14,0.07654066,0.14433984,0.09798452,0.19369329,-0.40816327,-0.74846939,-0.02704082,0.04512695,0.22563475
fga,CORE01,CORE03,21,12,0.07654066,0.10338928,0.09798452,0.11554593,-0.24603175,-0.62698413,0.16666667,0.25368944,0.5689872
fga,CORE01,CORE04,21,9,0.07654066,0.18931519,0.09798452,0.33730374,-0.57671958,-0.92592593,-0.10026455,0.0145319,0.0871914
fga,CORE02,CORE03,14,12,0.14433984,0.10338928,0.19369329,0.11554593,0.30952381,-0.1547619,0.70238095,0.1896624,0.5689872
fga,CORE02,CORE04,14,9,0.14433984,0.18931519,0.19369329,0.33730374,-0.28571429,-0.73015873,0.22222222,0.27028938,0.5689872
fga,CORE03,CORE04,12,9,0.10338928,0.18931519,0.11554593,0.33730374,-0.5,-0.90740741,-0.01851852,0.05966338,0.23865352
loss_burden,CORE01,CORE02,21,14,0.03379695,0.08978516,0.04676556,0.10486169,-0.44217687,-0.79591837,-0.01360544,0.02986864,0.1493432
loss_burden,CORE01,CORE03,21,12,0.03379695,0.06492928,0.04676556,0.08467351,-0.26984127,-0.68253968,0.17480159,0.20994889,0.46912716
loss_burden,CORE01,CORE04,21,9,0.03379695,0.13648422,0.04676556,0.19319054,-0.69312169,-1.0,-0.21693122,0.0032646,0.0195876
loss_burden,CORE02,CORE03,14,12,0.08978516,0.06492928,0.10486169,0.08467351,0.14285714,-0.32142857,0.57142857,0.55418802,0.55418802
loss_burden,CORE02,CORE04,14,9,0.08978516,0.13648422,0.10486169,0.19319054,-0.36507937,-0.77777778,0.11111111,0.15637572,0.46912716
loss_burden,CORE03,CORE04,12,9,0.06492928,0.13648422,0.08467351,0.19319054,-0.5,-0.90740741,0.0,0.05966338,0.23865352
