core_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
CORE04,HALLMARK_APICAL_SURFACE,11,92,0.08354874,0.08893344,0.08231854,0.08374081,-0.02944698,down,0.84340485,0.91505215,11,92
CORE04,HALLMARK_APOPTOSIS,11,92,0.46377648,0.43862872,0.44779246,0.43430322,0.37404493,up,0.09056235,0.19687467,11,92
CORE04,HALLMARK_BILE_ACID_METABOLISM,11,92,0.19261165,0.17550489,0.18285857,0.1678052,0.28577284,up,0.71258564,0.83705148,11,92
CORE04,HALLMARK_CHOLESTEROL_HOMEOSTASIS,11,92,0.31485342,0.32183441,0.31501738,0.32277958,-0.26777291,down,0.33924034,0.54716184,11,92
CORE04,HALLMARK_COAGULATION,11,92,0.38339578,0.37836172,0.36503932,0.37110914,-0.12476527,down,0.68884774,0.83705148,11,92
CORE04,HALLMARK_COMPLEMENT,11,92,0.34949657,0.31058278,0.33645303,0.29964197,0.74728225,up,0.0041438,0.02302111,11,92
CORE04,HALLMARK_DNA_REPAIR,11,92,0.30258107,0.29826414,0.30261075,0.30008798,0.09309329,up,0.5606053,0.7886391,11,92
CORE04,HALLMARK_E2F_TARGETS,11,92,0.12719772,0.09654945,0.13605971,0.10366647,0.6416071,up,0.03881305,0.10213961,11,92
CORE04,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,11,92,0.40113069,0.40765288,0.34665712,0.40013449,-0.60137098,down,0.1391719,0.26763827,11,92
CORE04,HALLMARK_ESTROGEN_RESPONSE_EARLY,11,92,0.22930422,0.23081318,0.22323425,0.23036838,-0.20668413,down,0.58972728,0.79692876,11,92
CORE04,HALLMARK_ESTROGEN_RESPONSE_LATE,11,92,0.24624964,0.24962701,0.24592665,0.24590256,0.0008621,up,0.86014902,0.91505215,11,92
CORE04,HALLMARK_FATTY_ACID_METABOLISM,11,92,0.39537376,0.41276328,0.40882703,0.40909057,-0.00531164,down,0.66541235,0.83705148,11,92
CORE04,HALLMARK_G2M_CHECKPOINT,11,92,0.11162714,0.09344865,0.13147974,0.10394993,0.57347308,up,0.17677628,0.31567193,11,92
CORE04,HALLMARK_GLYCOLYSIS,11,92,0.39914687,0.39245536,0.39552414,0.38988304,0.14976064,up,0.39002794,0.60941866,11,92
CORE04,HALLMARK_HEDGEHOG_SIGNALING,11,92,0.11661933,0.13662661,0.10317176,0.13720508,-0.76649106,down,0.01604657,0.05014553,11,92
CORE04,HALLMARK_HEME_METABOLISM,11,92,0.30941388,0.31911323,0.31565275,0.3136612,0.07268588,up,0.76088514,0.84542793,11,92
