core_a,core_b,feature,fisher_p,q_value,odds_ratio,ci_low,ci_high,core_a_frequency,core_b_frequency,frequency_difference
CORE03,CORE04,mutation::KDM5C,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::KMT2C,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::LYST,1.0,1.0,1.0,0.08896818,11.23997396,0.09090909090909091,0.09090909090909091,0.0
CORE03,CORE04,mutation::MTOR,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::MUC16,1.0,1.0,1.0,0.08896818,11.23997396,0.09090909090909091,0.09090909090909091,0.0
CORE03,CORE04,mutation::PBRM1,1.0,1.0,0.63909774,0.09866696,4.13964218,0.18181818181818182,0.2727272727272727,-0.09090909090909088
CORE03,CORE04,mutation::PIK3CA,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::PTEN,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::SETD2,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::SPTA1,0.21428571,1.0,0.10559006,0.00479004,2.3275919,0.0,0.2727272727272727,-0.2727272727272727
CORE03,CORE04,mutation::TP53,1.0,1.0,3.28571429,0.12019791,89.81785668,0.09090909090909091,0.0,0.09090909090909091
CORE03,CORE04,mutation::TSC1,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::TSC2,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::TTN,1.0,1.0,1.84210526,0.20282037,16.73082335,0.18181818181818182,0.09090909090909091,0.09090909090909091
CORE03,CORE04,mutation::VHL,1.0,1.0,0.71597633,0.14370003,3.56730694,0.45454545454545453,0.5454545454545454,-0.09090909090909088
CORE03,CORE05,mutation::ARID1A,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::ATM,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::BAP1,0.08333333,0.91666663,0.06086957,0.00232814,1.59144182,0.0,0.4,-0.4
CORE03,CORE05,mutation::CDKN2A,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::DST,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::ELOC,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::FLG,0.08333333,0.91666663,0.06086957,0.00232814,1.59144182,0.0,0.4,-0.4
CORE03,CORE05,mutation::KDM5C,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::KMT2C,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::LYST,1.0,1.0,1.57142857,0.05442988,45.36823621,0.09090909090909091,0.0,0.09090909090909091
CORE03,CORE05,mutation::MTOR,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::MUC16,1.0,1.0,1.57142857,0.05442988,45.36823621,0.09090909090909091,0.0,0.09090909090909091
CORE03,CORE05,mutation::PBRM1,1.0,1.0,0.78947368,0.07803144,7.98740443,0.18181818181818182,0.2,-0.018181818181818188
CORE03,CORE05,mutation::PIK3CA,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::PTEN,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::SETD2,0.3125,1.0,0.13043478,0.00443598,3.83528324,0.0,0.2,-0.2
CORE03,CORE05,mutation::SPTA1,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::TP53,1.0,1.0,0.42857143,0.03454236,5.31733986,0.09090909090909091,0.2,-0.1090909090909091
CORE03,CORE05,mutation::TSC1,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::TSC2,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE03,CORE05,mutation::TTN,1.0,1.0,0.78947368,0.07803144,7.98740443,0.18181818181818182,0.2,-0.018181818181818188
CORE03,CORE05,mutation::VHL,1.0,1.0,0.6043956,0.08337835,4.38116177,0.45454545454545453,0.6,-0.14545454545454545
CORE04,CORE05,mutation::ARID1A,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE04,CORE05,mutation::ATM,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE04,CORE05,mutation::BAP1,1.0,1.0,1.18461538,0.16342157,8.58707706,0.45454545454545453,0.4,0.05454545454545451
CORE04,CORE05,mutation::CDKN2A,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE04,CORE05,mutation::DST,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE04,CORE05,mutation::ELOC,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE04,CORE05,mutation::FLG,0.08333333,1.0,0.06086957,0.00232814,1.59144182,0.0,0.4,-0.4
CORE04,CORE05,mutation::KDM5C,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE04,CORE05,mutation::KMT2C,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE04,CORE05,mutation::LYST,1.0,1.0,1.57142857,0.05442988,45.36823621,0.09090909090909091,0.0,0.09090909090909091
CORE04,CORE05,mutation::MTOR,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE04,CORE05,mutation::MUC16,1.0,1.0,1.57142857,0.05442988,45.36823621,0.09090909090909091,0.0,0.09090909090909091
CORE04,CORE05,mutation::PBRM1,1.0,1.0,1.23529412,0.13308547,11.46595162,0.2727272727272727,0.2,0.0727272727272727
CORE04,CORE05,mutation::PIK3CA,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
CORE04,CORE05,mutation::PTEN,1.0,1.0,0.47826087,0.00833612,27.4388437,0.0,0.0,0.0
