feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr5q::gain,CORE02,CORE04,14,11,0.35714285714285715,0.36363636363636365,-0.006493506493506496,0.96491228,0.20049921,4.64368761,1.0,1.0
chr5q::gain,CORE02,CORE05,14,5,0.35714285714285715,0.2,0.15714285714285714,1.73684211,0.20733949,14.54918442,1.0,1.0
chr5q::gain,CORE03,CORE04,11,11,0.36363636363636365,0.36363636363636365,0.0,1.0,0.19150964,5.22166921,1.0,1.0
chr5q::gain,CORE03,CORE05,11,5,0.36363636363636365,0.2,0.16363636363636364,1.8,0.20216221,16.02673397,1.0,1.0
chr5q::gain,CORE04,CORE05,11,5,0.36363636363636365,0.2,0.16363636363636364,1.8,0.20216221,16.02673397,1.0,1.0
chr6p::loss,CORE01,CORE02,18,14,0.0,0.21428571428571427,-0.21428571428571427,0.08880309,0.00419186,1.8812644,0.0733871,0.733871
chr6p::loss,CORE01,CORE03,18,11,0.0,0.18181818181818182,-0.18181818181818182,0.1027027,0.00446494,2.36236897,0.13546798,1.0
chr6p::loss,CORE01,CORE04,18,11,0.0,0.09090909090909091,-0.09090909090909091,0.18918919,0.00705479,5.07350922,0.37931034,1.0
chr6p::loss,CORE01,CORE05,18,5,0.0,0.2,-0.2,0.08108108,0.00280967,2.33982447,0.2173913,1.0
chr6p::loss,CORE02,CORE03,14,11,0.21428571428571427,0.18181818181818182,0.03246753246753245,1.15652174,0.18432287,7.25651987,1.0,1.0
